,,
,Orquesta la Yunqueña (OLY) - Meridan ,contact@olysalsa.com
,Movimiento Cultural MCAC, mcultural15@gmail.com
,,
,Baila Con Gusto CT,bailacongusto17@gmail.com
,,
,Pequeñas Ligas Hispanas de New Haven,pequenasligas.newhaven@yahoo.com
,Citywide Youth Coalition (CWYC),alyssa@cwyc.org
,New Haven Immigrants Coalition,
,Via Lactea,info@vialacteact.com
,,
,Isla Nena PR - truck, christopherd05@yahoo.com
,Sabor Loiceno LLC - Truck,michaelclaudio407@gmail.com
,Fabi's Big Tripletas - truck,brendaleerodriguezhernandez @gmail.com
